code_name,exp,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,HOMO-LUMO gap_GFN,HOMO_GFN,LUMO_GFN,Dipole module_GFN,Total energy,Total disp. C6,Total disp. C8,Dispersion area,Dispersion volume,Chem. potential,Electrodon. power idx,Electroaccep. power idx,max. electron flow,Electrodon. Chem. potential,Electrodon. max. electron flow,Electrofugality,Nucleofugality,Intrinsic React. idx,Net Electrophilicity,Hyperhardness,Hypersoftness,Electrophilic descrip.,cub. electrophilicity idx,G solv. elec.,G solv. SASA,G solv. shift,Trans. dipole moment,HOMO occup.,LUMO occup.
CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,9.1722,-8.4946,0.6776,6.6911000000000005,-0.055,0.8791,0.0,625.4812,-10.8958,-2.013,-8.2088,277.4994,0.2815,6.7461,0.1483,3.318,0.8162,1.3471,10.2361,5.6342,72.4166,2.2532,-9.3354,-7.0822,0.8677,-85.1488,32575.9164,744414.2404,477.717,495.4523,-3.318,0.7901,7.4262,0.7419,-5.0046,0.7419,0.8712000000000001,7.5073,0.9838,-6.6361,4.6171,0.015,1.2623,1.0003,-9.6109,0.0499,0.6782,4.4252,2.0,0.0
CHEMBL469790,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,6.5280000000000005,-7.3441,-0.8161,6.6264,1.3512,2.6678,0.0,681.8826,-18.844,-4.7713,-8.7797,305.3231,0.721,5.2752,0.1896,3.9888,1.5084,0.9372,9.8325,7.3509,49.2652,1.3533,-9.4563,-8.103,3.4811,-88.496,37905.3039,997891.3606,486.872,494.4787,-3.9888,2.7044,10.682,1.006,-5.3076,1.006,0.1572,8.1349,1.5121,-7.9776,4.6029,0.0314,1.0199,1.5889,-12.923,-1.8279,0.6782,3.5755,2.0,0.0
CHEMBL2165055,0.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,7.5217,-8.6869,-1.1652,6.8861,1.4497,5.0904,0.0,742.3049,-22.3489,-4.6358,-8.9776,335.8053,0.5979,5.4364,0.184,4.1679,1.5982,0.8898,10.0334,7.8951,59.5802,1.4273,-9.6915,-8.2643,4.7602,-103.792,47724.3898,1120285.9189,553.5542,574.3524,-4.1679,2.9043,11.2402,1.0169,-5.527,1.0169,0.1484,8.4843,1.5338,-8.3358,4.7964,0.0299,1.1072,1.6803,-15.451,-2.9402,0.6782,4.557,2.0,0.0
CHEMBL322479,2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,9.8198,-8.4043,1.4155,6.72,-0.0437,2.7426,0.0,734.1838,-14.966,-8.5922,-8.1106,326.1616,0.2356,6.7637,0.148,3.3381,0.8251000000000001,1.3373,9.8146,6.1254,80.0979,2.5006,-9.3609,-6.8603000000000005,2.2527,-92.2008,44591.3539,1076033.1171,559.6904,577.9374,-3.3381,0.8076,7.4839,0.7441,-5.0291,0.7441,0.8688,7.545,0.9881,-6.6763,4.6318,0.015,1.3904,1.0322,-7.0947,0.0428,0.6782,4.3964,2.0,0.0
CHEMBL2036736,1.92,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,7.1946,-7.7073,-0.5127,6.8648,1.3726,4.9192,0.0,676.2348,-23.5252,-3.6971,-8.8661,279.2711,0.517,5.4922,0.1821,4.1187,1.5447000000000002,0.9107,10.1107,7.424,60.3147,1.3788,-9.5555,-8.1767,4.6013,-87.4668,32322.1511,801085.4002,470.2746,466.1134,-4.1187,2.7465,10.9839,1.0,-5.4918,1.0,0.1721,8.4095,1.5,-8.2374,4.6486,0.0281,1.0827,1.6332,-18.2056,-2.3007,0.6782,4.2704,2.0,0.0
CHEMBL2179291,3.17,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,9.1869,-8.8348,0.3521,6.8453,0.2073,5.8708,0.0,698.7958,-15.4537,-4.0026,-8.4835,299.7608,0.2497,6.638,0.1507,3.5263,0.9369,1.2344,10.0031,6.5185,82.5422,2.7188,-9.8429,-7.1241,5.8684,-90.2747,37526.2491,879789.3235,510.691,516.5215,-3.5263,1.0509,8.1035,0.7813,-5.1858,0.7813,0.7296,7.7822,1.0626,-7.0526,4.7345,0.0162,1.3451,1.1329,-12.9254,0.7961,0.6782,3.4904,2.0,0.0
CHEMBL2158823,2.17,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,8.483,-8.0502,0.4328,6.5822,0.5247,2.471,0.0,724.2198,-16.9075,-6.4243,-8.3398,314.4001,0.3339,6.0575,0.1651,3.5535,1.0423,1.1794,9.6278,6.8909,71.5386,2.3661,-9.5228,-7.1568,2.7199,-92.8846,41879.0363,1045741.1258,531.3627,546.4961,-3.5535,1.3731,8.48,0.8366,-5.0679,0.8366,0.5176000000000001,7.6246,1.1732,-7.107,4.7059,0.0212,1.213,1.2069,-11.1875,0.0261,0.6782,2.7211,2.0,0.0
CHEMBL641,1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,10.4848,-9.004,1.4808,7.1537,-0.9852,2.0619,0.0,496.9677,-3.8084,-1.0215,-7.9102,202.8001,0.1183,8.1389,0.1229,3.0843,0.5846,1.5535,11.107,4.4008,98.6215,3.5674,-9.6938,-6.1265,1.7587000000000002,-54.0802,16700.486,390589.0479,361.4884,355.4983,-3.0843,0.2716,6.4402,0.629,-5.119,0.629,1.5698,7.7384,0.7579,-6.1686,4.6696,0.0087,1.6341,0.8088000000000001,-1.5541,-1.911,0.6782,2.967,2.0,0.0
CHEMBL1289785,3.93,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,9.2387,-8.274000000000001,0.9647,6.8916,0.1304,3.7248,0.0,598.1204,-13.6671,-1.6489,-8.3834,258.4648,0.248,6.7612,0.148,3.511,0.9123,1.2499,10.2455,6.3336,80.1107,3.056,-9.9114,-6.8554,3.3531,-73.3707,27796.5348,711894.9705,435.8773,443.3743,-3.511,0.9833,8.0053,0.7695000000000001,-5.2013,0.7695000000000001,0.7818,7.8039,1.039,-7.0221,4.7785,0.0155,1.3245,1.1061,-10.4472,-2.2492,0.6782,0.5716,2.0,0.0
CHEMBL1381135,1.9,COc1cnc(nc1N(C)C)c2ccccn2,7.8686,-7.5964,0.2722,6.947,-0.1741,3.173,0.0,438.4076,-10.8297,-1.3244,-8.2544,165.7932,0.3912,7.1211,0.1404,3.3864,0.8052,1.3338,11.2252,4.7028,61.394,2.3497,-9.4292,-7.0796,3.402,-48.5955,11321.5716,264240.1729,299.1288,286.3329,-3.3864,0.7246,7.4975,0.7256,-5.1667,0.7256,0.9793,7.7522,0.9511,-6.7729,4.5776,0.0126,1.2234,0.9708,-6.7714,-3.412,0.6782,0.182,2.0,0.0
CHEMBL528217,2.27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,7.9384,-8.0854,-0.147,6.2922,0.8303,3.7427,0.0,906.4131,-11.9614,-1.4349,-8.2636,438.0761,0.6258,5.4619,0.1833,3.5612,1.1629,1.125,9.172,7.7857,61.1371,2.4015,-9.4644,-7.0628,3.6582,-112.4654,76408.6094,1847675.6569,687.0669,713.8864,-3.5612,1.7732,8.8957,0.9029,-4.9267,0.9029,0.3326,7.4551,1.3058,-7.1225,4.9176,0.0304,1.1028,1.2915,-6.4532,-4.7516,0.6782,2.7197,2.0,0.0
CHEMBL2177621,1.2,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,8.6925,-9.3715,-0.679,7.5483,1.036,4.1612,0.0,621.1082,-19.9169,-7.0101,-9.256,285.2325,0.3382,6.5122,0.1536,4.2921,1.4146,0.929,10.8127,6.6697,71.0299,2.4746,-10.4933,-8.0187,4.1393,-84.1725,34423.0603,853770.6058,458.9128,484.3693,-4.2921,2.1804,10.7647,0.9091,-5.9202,0.9091,0.3786,8.9629,1.3183,-8.5843,4.449,0.0161,1.3744,1.5725,-14.2329,0.6479,0.6782,2.3037,2.0,0.0
CHEMBL475386,1.14,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,7.4984,-8.0876,-0.5892000000000001,7.1031,0.6349,3.8474,0.0,514.1446,-12.3026,-2.1979,-8.709,226.4677,0.5313,6.4682,0.1546,3.869,1.1573,1.0746,11.0643,6.235,56.3954,1.9165,-9.6673,-7.7508,3.3891,-62.8055,20428.8139,532860.6043,360.0552,357.1795,-3.869,1.5687,9.3067,0.8482000000000001,-5.486,0.8482000000000001,0.5224,8.2604,1.1964,-7.737999999999999,4.7807,0.0177,1.1201,1.299,-7.7122,-3.0707,0.6782,1.2025,2.0,0.0
CHEMBL2325699,2.6,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,7.8787,-7.9358,-0.0572,6.9325,0.1581,6.379,0.0,613.315,-22.6101,-4.2775,-8.4519,292.1861,0.3353,6.7743,0.1476,3.5453,0.9278,1.2341,10.4846,5.6422,64.9564,2.5932,-9.7485,-7.1554,6.018,-86.5281,36008.1354,888504.3513,465.1633,486.9521,-3.5453,1.0125,8.1031,0.7734000000000001,-5.2389,0.7734000000000001,0.7696000000000001,7.8602,1.0467,-7.0906,4.5181,0.0146,1.2778,1.1126,-19.0767,0.0659,0.6782,4.7538,2.0,0.0
CHEMBL2010845,3.3,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,9.3175,-9.2528,0.0648,7.4473,0.9406,6.6922,0.0,718.5191,-22.2459,-3.1166,-8.9268,301.7421,0.2994,6.5067,0.1537,4.1939,1.3519,0.9607,10.7296,,78.4337,2.6686,-10.2611,-7.5924,6.2929,-102.0458,38935.7297,906467.1708,519.0388,526.451,-4.1939,2.0268,10.4147,0.8945000000000001,-5.8206,0.8945000000000001,0.4113,8.7991,1.2891,-8.3879,,,1.3514,1.5137,-16.5759,-3.2316,0.6782,3.8125,2.0,0.0
CHEMBL103,3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9.8578,-9.7096,0.1483,7.5197,0.2198,4.1962,0.0,514.1382,-10.9654,-1.9272,-8.8517,231.0127,0.2089,7.2999,0.137,3.8697,1.0258,1.1257,11.158,5.578,73.332,2.911,-10.3072,-7.3963,4.1158,-68.4532,23978.7153,541934.2477,384.9151,427.7685,-3.8697,1.1458,8.8853,0.7801,-5.6947,0.7801,0.8059000000000001,8.5455,1.0602,-7.7395,4.4983,0.0116,1.4301,1.2337,-11.1139,1.3975,0.6782,0.3345,2.0,0.0
CHEMBL2208428,2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,8.411200000000001,-8.9419,-0.5307000000000001,7.022,0.7238,7.1758,0.0,728.3027,-28.1136,-5.6558,-8.6411,325.6011,0.3049,6.2982,0.1589,3.8729,1.1914,1.0622,10.0658,7.0813,82.5354,2.2116,-9.7469,-7.5353,7.4644,-98.9123,44731.9518,1158657.2595,539.3103,555.5539,-3.8729,1.6801,9.4258,0.8651000000000001,-5.4474,0.8651000000000001,0.4676,8.2134,1.2301,-7.7458,4.7007,0.0189,1.3291,1.3611,-24.4861,1.3501,0.6782,0.8376,2.0,0.0
CHEMBL1796293,2.57,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,9.6316,-9.527,0.1045,7.4576,0.8268000000000001,6.1201,0.0,575.3728,-17.2885,-2.4049,-8.8726,239.9219,0.312,6.6308,0.1508,4.1422,1.2941,0.9857,10.9621,7.0276,75.9601,2.4486,-10.0969,-7.6483,5.683,-67.3276,22797.9258,564302.4946,401.0007,390.7847,-4.1422,1.863,10.1474,0.8747,-5.7999,0.8747,0.4673,8.7517,1.2495,-8.2844,4.8527000000000005,0.0167,1.3082,1.4587,-10.8271,-4.7347,0.6782,3.0234,2.0,0.0
CHEMBL1557436,3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,8.0802,-8.0008,0.0794,6.9057,0.2989,4.1852,0.0,547.9519,-13.1172,-2.9387,-8.4325,238.7406,0.3819,6.6067,0.1514,3.6023,0.9821,1.1967,10.5624,6.2317,58.782,2.3737,-9.6193,-7.2457,3.7543,-64.6089,22750.7122,581010.8117,386.7207,388.7218,-3.6023,1.1519,8.3565,0.7952,-5.254,0.7952,0.6831,7.8877,1.0905,-7.2046,4.7947,0.0166,1.208,1.1515,-9.0657,-1.791,0.6782,5.1953,2.0,0.0
CHEMBL2031236,2.06,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,7.8729,-7.5765,0.2964,6.4802,0.9038,3.6235,0.0,719.4031,-17.4684,-2.8241,-8.576,327.0126,0.5536,5.5764,0.1794,3.692,1.2223,1.078,9.6188,7.260099999999999,63.6887,1.6176,-9.3848,-7.7672,3.2037,-92.6297,43527.3685,1088135.7668,519.8877,531.9313,-3.692,1.8941,9.2782,0.9121,-5.0861,0.9121,0.3185,7.7025,1.3242,-7.384,4.7474,0.0274,1.0723,1.3447,-13.6501,-1.6724,0.6782,3.0392,2.0,0.0
CHEMBL2087849,4.33,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,7.8771,-8.6468,-0.7697,7.3818,1.1877,3.8318,0.0,697.8412,-18.5654,-2.5104,-9.2824,350.6648,0.5108,6.1941,0.1615,4.2847,1.482,0.9102,10.5208,7.1777,62.3782,2.3014,-10.4331,-8.1317,4.0026,-104.3166,51562.5997,1268504.943,551.4898,586.8747,-4.2847,2.4176,10.9871,0.9417,-5.8333,0.9417,0.2943,8.8638,1.3835,-8.5695,4.5645,0.0192,1.3298,1.6191,-12.8736,-3.8596,0.6782,1.1668,2.0,0.0
CHEMBL1235773,2.55,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,7.9182,-8.6947,-0.7765000000000001,6.6074,1.1224,5.942,0.0,729.9885,-13.0206,-2.1807,-8.7419,328.4452,0.6538,5.485,0.1823,3.8649,1.362,1.0006,9.5965,7.5767,57.9034,1.666,-9.5749,-7.9089,5.8094,-93.2906,44752.8745,1109443.4849,540.5361,554.8746,-3.8649,2.2685,9.9983,0.9547,-5.2362,0.9547,0.2396,7.9694,1.4093,-7.7298,4.7217,0.0286,1.1193,1.4729,-7.1433,-4.3748000000000005,0.6782,2.3815,2.0,0.0
CHEMBL339051,2.78,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,8.2562,-8.9098,-0.6535000000000001,6.802,0.9976,5.9828,0.0,898.8027,-29.451,-3.6338,-8.7979,465.3371,0.4859,5.8044,0.1723,3.8998,1.3105,1.0139,9.5771,7.5756,63.8813,1.7445,-9.6702,-7.9257,6.5693,-138.0625,91785.8564,2250912.7374,728.305,797.8213,-3.8998,2.0677,9.8674,0.922,-5.3509,0.922,0.3129,8.1125,1.344,-7.7997,4.6765,0.0239,1.2883,1.451,-23.9442,-2.5512,0.6782,3.4119,2.0,0.0
